,company,city,instagram,lat,lng,feb,p4p,tremendous
0,Craft Beer Cellar - Belmont,Belmont,cbc_belmont,42.39731939999999,-71.1752308,Y,2/14/2020,2/14/2020
1,Fenway Beer Shop,Boston,fenwaybeershop,42.3453258,-71.09850209999999,Y,2/14/2020,2/14/2020
2,High Spirits Liquors (Kim Rich Inc),Providence,highspiritsliquors,41.8365572,-71.4096113,Y,2/14/2020,2/14/2020
3,Vinnin Square Liquors,Swampscott,vinninliquors,42.479926899999995,-70.9038698,Y,2/14/2020,2/14/2020
4,Ball Square Fine Wines,Somerville,ballsqfinewines,42.399845899999995,-71.11249570000001,Y,2/14/2020,2/14/2020
5,Craft Beer Cellar - Newton,Newton,cbc_newton,42.350336999999996,-71.20752900000001,Y,2/14/2020,2/14/2020
6,Redstone Liquors - Stoneham,Stoneham,redstoneliquors,42.49495,-71.1031067,Y,2/14/2020,2/14/2020
7,Boston Wine Exchange,Boston,bostonwineexchange,42.3560315,-71.0575516,Y,2/14/2020,2/14/2020
8,American Provisions Dorchester,Dorchester,americanprovisions,42.2833079,-71.0650652,Y,2/14/2020,2/14/2020
9,Essex Wine Exchange,Essex,essexwineexchng,42.631221999999994,-70.77731,Y,2/14/2020,2/14/2020
10,Burlington Wine & Spirits,Burlington,,42.4703924,-71.20839720000001,Y,2/14/2020,2/14/2020
11,Howes Station Market,,howesstationmarket,42.5958387,-70.99248829999999,Y,2/14/2020,2/14/2020
12,Wang's Liquors,Amesbury,wangsliquors,42.8568841,-70.9329923,Y,2/14/2020,2/14/2020
13,Empire Wine and Spirits (VMO Associates),,empirebeerdept,42.010273600000005,-70.734538,Y,2/14/2020,2/14/2020
14,Redstone Liquors - Andover,Andover,redstoneliquors,42.6540409,-71.1391042,Y,2/14/2020,2/14/2020
15,Needham Center Fine Wines (Lianos Liquors Inc),Needham,ncfwma,42.280488299999995,-71.23708990000002,Y,2/14/2020,2/14/2020
16,Perk's Beer and Beverage,,perksbeerandbeveragemaine,43.6012375,-70.369309,Y,2/14/2020,2/14/2020
17,Depot Liquors,Beverly,depotliquors,42.585316,-70.884198,Y,2/14/2020,2/14/2020
18,The Umbrella Factory,,store_ufo,43.9701278,-70.5927672,Y,2/14/2020,2/14/2020
