name,zipcode,email
Avenue kitchen + bar,02144,kennys@avenuesomerville.com
Christopher's Restaurant & Bar,02140,dan@christopherscambridge.com
Grendel's Den Restaurant and Bar,02138,kkuelzer@gmail.com
Semolina kitchen ,02155,Beverages@semolinakitchen.com
BARRA,02143,hola@barraunionsquare.com
Beat Brew Hall,02138,Casey@beatbrewhall.com
"The Beehive, Beat Brew Hall, Cósmica ",02116,jack@beehiveboston.com
Enricos Brick Oven Pizzeria ,01518,Elizalicea@gmail.com
City girl cafe,02139,Citygirlcatering@gmail.com
Red’s Speakeasy ,01226,Redsspeakeasy@gmail.com
Sylvan Street Grille,01960,ctremblay@sylvanstreetgrille.com
Renegade's Pub,02128,Kcdaly8@gmail.com
Short & Main,01930,shortandmain@gmail.com
Mezze Bistro & Bar ,01267,nancy@mezzeinc.com
Goodstuff Smokehouse ,01504,Goodstuffconcessions@gmail.com
State park / cafe du pays/ Mamalehs ,02139,heathermojer@gmail.com
Horse Thieves Tavern ,02026,Michelle@horsethievestavern.com
C.F. McCarthy's,02021,cfmccarthys2018@gmail.com
Warren Tavern,02129,Thomas@superiordininggroup.com
Tavern  on the hill ,01027,Amy@tavernonline.com 
Brighton Bodega,02135,Thomas@superiordininggroup.com
Devlins Restaurant,02135,Thomas@superiordininggroup.com
Porter Bellys,02135,Thomas@superiordininggroup.com
Barlow’s Restaurant,02210,Thomas@superiordininggroup.com
Copper House Tavern,02451,Thomas@superiordininggroup.com
Orleans Restaurant,02144,Thomas@superiordininggroup.com
hop + grind,,
hope & olive restaurant ,01301,jim@hopeandolive.com
Za Arlington ,02474,jbroadman@gmail.com
Wit’s End,02139,harrison@witsendbar.com
Za and EVOO,02142,steve@zarestaurant.com
Bukowski Tavern,01235,Yobuksbos@Gmail.com
The Independent,02143,jessw@theindo.com
"Foundry on Elm, Saloon, The Rockwell",02143,jessw@theindo.com
Brass Union,02143,jessw@theindo.com
,02130,jcain0501@gmail.com
Stoked Wood Fired Pizza Co.,02446,toirm@stokedpizzaco.com
Daddy’s Bonetown Burgers,,
Stars on Hingham Harbor,02043,wbaltzer@starshingham.com
29 Rustic,01776,Jmackey@chefsnetwork.com
Loyal Nine,,Loyalninecambridge@gmail.com
Mom & Pops Burgers,,
Oysters bar and grille ,02359,
Canary Square,02026,michaelmoxley71@gmail.com
Forage,,
Fat Baby Sushi and Cocktails ,,Psb42997@gmail.com
Trattoria San Pietro,,
Lower Mills Tavern,02124,brian@lowermillstavern.com
Yellow Door Taqueria ,02124,brian@lowermillstavern.com
Mcgreevy’s Pub,02115,brian@lowermillstavern.com
FIELD & VINE,02143,
Daddy Jones Bar,02145,dimitramurphy@gmail.com
Flatbread Company Somerville,02144,katieb@flatbreadcompany.com
The Flatbread Company,01730,
Bergamot & BISq,2143,
,01864,KMacchi@aol.com
Felipe’s Taqueria,02138,tom@felipestaqueria.com
