,venue_name,venue_slug,primary_category,contact,venue_id,lat,lng,venue_city,venue_address,venue_country,venue_city,venue_country,venue_state,venue_url
0,Dorchester Brewing Company,dorchester-brewing-company,Nightlife Spot,"{'twitter': '@dorchesterbrew', 'venue_url': 'http://www.dorchesterbrewing.com'}",4367121,42.322,-71.0626,Boston,1250 Massachusetts Ave,United States,Boston,United States,MA,http://www.dorchesterbrewing.com
1,Flatbread Company at Sacco's Bowl Haven,flatbread-company-at-saccos-bowl-haven,Food,"{'twitter': '@flatbreadsville', 'venue_url': 'www.saccobowl.com'}",12317,42.3957,-71.1237,Somerville,45 Day St,United States,Somerville,United States,MA,www.saccobowl.com
2,Flynn's Irish Pub - Mansfield,flynns-irish-pub,Food,"{'twitter': '@FlynnsIrishPub', 'venue_url': 'http://www.gotoflynns.com/'}",1265320,42.0297,-71.218,Mansfield,219-223 N Main St,United States,Mansfield,United States,MA,http://www.gotoflynns.com/
3,Beat Brew Hall,beat-brew-hall,Nightlife Spot,"{'twitter': '@beatcambridge', 'venue_url': 'BeatBrewHall.com'}",1037506,42.3735,-71.1202,Cambridge,13 Brattle St,United States,Cambridge,United States,MA,BeatBrewHall.com
4,Craft Beer Cellar Westford,craft-beer-cellar-westford,Shop & Service,"{'twitter': '@cbc_westford', 'venue_url': 'craftbeercellar.com/westford'}",1055806,42.5692,-71.4183,Westford,142 Littleton Rd,United States,Westford,United States,MA,craftbeercellar.com/westford
5,Dorchester Brewing Company,dorchester-brewing-company,Nightlife Spot,"{'twitter': '@dorchesterbrew', 'venue_url': 'http://www.dorchesterbrewing.com'}",4367121,42.322,-71.0626,Boston,1250 Massachusetts Ave,United States,Boston,United States,MA,http://www.dorchesterbrewing.com
6,Flynn's Irish Pub - Mansfield,flynns-irish-pub,Food,"{'twitter': '@FlynnsIrishPub', 'venue_url': 'http://www.gotoflynns.com/'}",1265320,42.0297,-71.218,Mansfield,219-223 N Main St,United States,Mansfield,United States,MA,http://www.gotoflynns.com/
7,Coolidge Corner Wine & Spirits,coolidge-corner-wine-spirits,Shop & Service,"{'twitter': '', 'venue_url': 'http://www.ccwineandspirits.com'}",235193,42.3426,-71.1204,Brookline,1300 Beacon St,United States,Brookline,United States,MA,http://www.ccwineandspirits.com
8,Bukowski Tavern- Boston,bukowski-tavern,Nightlife Spot,"{'twitter': '@bukowskiboston', 'venue_url': 'http://bukowskitavern.net/'}",2362,42.3472,-71.0854,Boston,50 Dalton St,United States,Boston,United States,MA,http://bukowskitavern.net/
9,Bukowski Tavern- Boston,bukowski-tavern,Nightlife Spot,"{'twitter': '@bukowskiboston', 'venue_url': 'http://bukowskitavern.net/'}",2362,42.3472,-71.0854,Boston,50 Dalton St,United States,Boston,United States,MA,http://bukowskitavern.net/
10,"Franklin, MA",franklin-ma,Outdoors & Recreation,"{'twitter': '', 'venue_url': 'http://town.franklin.ma.us'}",830752,42.0798,-71.3819,Franklin,,United States,Franklin,United States,MA,http://town.franklin.ma.us
11,Perk’s Beer and Beverage,perks-beer-and-beverage,Shop & Service,"{'twitter': '', 'venue_url': 'perksbeerandbeverage.godaddysites.com'}",8996087,43.6012,-70.3693,Scarborough,"400 Expedition Dr, Ste A",United States,Scarborough,United States,ME,perksbeerandbeverage.godaddysites.com
12,Cumberland Farms,cumberland-farms,Shop & Service,"{'twitter': '@cumberlandfarms', 'venue_url': 'https://www.cumberlandfarms.com/stores/ri/north-providence-1224'}",2729721,41.8604,-71.4693,North Providence,1933 Mineral Spring Ave,United States,North Providence,United States,RI,https://www.cumberlandfarms.com/stores/ri/north-providence-1224
